[Eight, Ace, Seven, Joker, Seven] Three 301
[Ace, Nine, Nine, Nine, Nine] Four 220
[Seven, Ace, Queen, Queen, Nine] OnePair 49
[Seven, Three, Seven, Queen, Three] TwoPair 999
[Joker, Queen, Queen, Eight, Queen] Four 882
[Seven, Eight, Nine, Seven, Seven] Three 399
[Five, Three, Three, Three, Three] Four 689
[Two, King, Two, Joker, Queen] Three 25
[Three, Four, Eight, Four, Eight] TwoPair 800
[Two, Five, Eight, Five, Ten] OnePair 334
[Five, Ten, Seven, Nine, Nine] OnePair 908
[Six, Nine, Eight, Six, Four] OnePair 644
[Six, Five, Nine, Ten, King] HighCard 278
[Joker, Four, Three, Six, Three] Three 633
[Ten, Nine, Joker, Nine, Seven] Three 101
[Queen, Joker, Nine, Four, Ten] OnePair 615
[Three, Six, Three, Joker, Six] FullHouse 373
[Joker, Seven, Seven, Seven, Joker] Five 379
[Nine, Nine, Joker, Nine, Three] Four 966
[Ten, Ten, Two, Six, Ten] Three 312
[Ten, Ace, Eight, Ten, Eight] TwoPair 870
[Three, Joker, Five, Three, Five] FullHouse 245
[Eight, Six, Ace, Six, Three] OnePair 283
[Two, King, Ten, King, Two] TwoPair 508
[Queen, Nine, Queen, Two, Queen] Three 162
[Five, Nine, Queen, Joker, Ten] OnePair 667
[Six, Joker, Joker, King, Queen] Three 71
[Five, Five, Joker, Two, Five] Four 200
[Eight, Nine, Nine, Nine, Three] Three 980
[Four, Five, Four, Seven, Four] Three 581
[Queen, Four, Three, Nine, Four] OnePair 159
[Four, Five, Six, Nine, Seven] HighCard 346
[King, King, Nine, Nine, Queen] TwoPair 496
[Joker, Three, Joker, Five, Three] Four 466
[Three, Queen, Queen, Three, Queen] FullHouse 348
[Seven, Eight, Four, Three, Joker] OnePair 612
[Ten, Seven, Three, Three, King] OnePair 164
[Four, Two, Five, Eight, Nine] HighCard 818
[Queen, Nine, King, Three, Six] HighCard 232
[Queen, Queen, Two, Two, Queen] FullHouse 762
[Five, Ace, Ace, Three, Joker] Three 287
[Four, Eight, King, King, King] Three 449
[Seven, Queen, Queen, Queen, Joker] Four 248
[King, Five, King, Joker, Ace] Three 616
[King, Queen, Three, Eight, Seven] HighCard 965
[Queen, Four, Eight, Nine, Eight] OnePair 12
[Ace, Three, Ten, Nine, Queen] HighCard 227
[King, Seven, King, Ten, Ten] TwoPair 269
[Joker, Ten, Joker, Two, Two] Four 768
[Eight, Five, King, Eight, Eight] Three 875
[Six, Ten, Six, Six, Six] Four 624
[Nine, Seven, King, Seven, Queen] OnePair 586
[Seven, Eight, Five, Four, Joker] OnePair 804
[Ten, Four, Ten, Ten, Ten] Four 609
[Eight, Ten, Four, Four, Ten] TwoPair 415
[Three, Ten, Three, King, King] TwoPair 601
[Five, Ace, Ace, Ace, Joker] Four 258
[Eight, Five, Five, Five, King] Three 828
[Four, Queen, Eight, Joker, Queen] Three 593
[Joker, Ten, Eight, Two, Three] OnePair 396
[Joker, Nine, King, Nine, Six] Three 838
[Five, Five, Five, Six, Five] Four 632
[Seven, Joker, Seven, Seven, Ten] Four 713
[Three, Six, Three, Five, Three] Three 578
[Five, Queen, Nine, Six, Two] HighCard 529
[Five, King, Queen, Nine, Ten] HighCard 181
[Eight, Two, Six, Nine, Seven] HighCard 627
[Six, Six, Six, Five, Four] Three 88
[Seven, Seven, Four, Seven, Joker] Four 919
[Ace, Three, Ace, Ace, Joker] Four 441
[Five, Six, Nine, King, Joker] OnePair 805
[Ten, Ten, Queen, Joker, Five] Three 445
[Four, Four, Four, Ten, Four] Four 661
[Two, Nine, Nine, Five, Nine] Three 37
[Six, Two, Joker, Two, Six] FullHouse 955
[Queen, Four, Joker, Ten, Five] OnePair 214
[King, Queen, Ace, Four, Ten] HighCard 44
[Two, Four, Four, Two, Four] FullHouse 758
[Two, Queen, Four, Ace, King] HighCard 222
[Seven, Two, Nine, Ace, Four] HighCard 195
[Four, Queen, Three, Five, Ten] HighCard 928
[Three, Two, Nine, Ten, Eight] HighCard 551
[Six, Ten, Five, Ten, Five] TwoPair 33
[Ten, Two, Five, Queen, Nine] HighCard 978
[Nine, Queen, Nine, Joker, Nine] Four 407
[Ace, Four, King, Ten, Seven] HighCard 911
[Two, Seven, Three, Nine, Seven] OnePair 603
[Four, Two, Four, Four, Queen] Three 490
[Joker, Ace, Two, Five, Five] Three 384
[Two, Ace, Ace, Joker, Two] FullHouse 876
[Six, Two, Two, Two, King] Three 125
[Ace, Ace, Four, Six, Ace] Three 360
[Joker, Four, Three, Four, Three] FullHouse 672
[Joker, Ace, Joker, Queen, Nine] Three 880
[Eight, Eight, Eight, Joker, Two] Four 468
[Queen, Five, King, Nine, Joker] OnePair 268
[Ace, Eight, Five, Queen, Nine] HighCard 387
[Joker, Four, Ace, Three, Five] OnePair 705
[Six, Six, Ace, Six, Four] Three 97
[Queen, Ace, Queen, Queen, Eight] Three 700
[Five, Five, Ten, Joker, Four] Three 31
[Eight, Eight, Joker, Five, Eight] Four 650
[Six, Nine, Three, Ace, King] HighCard 679
[Two, Five, Nine, King, Two] OnePair 806
[Nine, Nine, Nine, Eight, Joker] Four 176
[Six, Eight, Two, Two, Ten] OnePair 235
[Nine, Joker, Six, Nine, Nine] Four 913
[Seven, Queen, Queen, Queen, Queen] Four 602
[Ten, Seven, Ten, Four, Ten] Three 317
[Six, Two, Two, Six, Ten] TwoPair 725
[Joker, Joker, Nine, Joker, Nine] Five 316
[Five, Five, Five, Seven, Five] Four 761
[Ace, Six, Ace, Six, Six] FullHouse 796
[King, Nine, Ten, Two, Nine] OnePair 764
[Three, Three, Three, Three, Four] Four 608
[King, King, King, Seven, King] Four 893
[Nine, Nine, Nine, Eight, Eight] FullHouse 579
[Joker, Eight, Joker, Joker, Joker] Five 259
[Four, Ace, Joker, Eight, Nine] OnePair 390
[Nine, Queen, Queen, Eight, Four] OnePair 14
[Nine, King, Joker, Three, King] Three 580
[Seven, Seven, Seven, Three, Six] Three 433
[King, King, Two, Two, King] FullHouse 555
[Seven, Five, Five, Joker, Two] Three 940
[Four, Joker, Ace, Nine, Ace] Three 492
[Nine, Queen, Five, Five, Five] Three 484
[Six, Joker, Six, Eight, Seven] Three 542
[Nine, Nine, King, Five, Three] OnePair 910
[Six, Two, Three, Six, Joker] Three 36
[Nine, Joker, Nine, Nine, Nine] Five 54
[Six, Six, Six, Three, Joker] Four 454
[Eight, Five, Joker, Joker, King] Three 122
[Nine, Six, Six, Joker, Three] Three 171
[Queen, Joker, Two, King, King] Three 747
[King, Joker, Ace, Two, Ace] Three 676
[Seven, Eight, Eight, Joker, Five] Three 858
[Seven, Eight, Eight, Three, Three] TwoPair 218
[Six, King, Joker, Six, Joker] Four 308
[Ten, Seven, Five, Ace, Ten] OnePair 318
[Seven, Joker, Queen, Three, Six] OnePair 728
[Ace, Joker, Eight, Ten, Ace] Three 354
[Nine, Six, King, Ten, Queen] HighCard 899
[Five, Two, Nine, Nine, Three] OnePair 402
[Nine, King, Five, Ace, Joker] OnePair 898
[Queen, Seven, Joker, Queen, Joker] Four 748
[Five, Queen, Five, Queen, Queen] FullHouse 48
[Ace, Five, Eight, Five, Eight] TwoPair 148
[Eight, Five, Eight, Eight, Eight] Four 988
[Two, Ten, Joker, Eight, Two] Three 556
[Nine, Ace, Joker, King, Four] OnePair 843
[Ten, Joker, Two, Six, Queen] OnePair 406
[Two, Two, Nine, Six, King] OnePair 356
[Two, Two, King, Two, Two] Four 18
[King, Joker, Six, King, Queen] Three 253
[Ten, Four, Four, Four, Ten] FullHouse 117
[Six, Ten, Two, Five, Seven] HighCard 715
[Ace, Ace, Four, Four, Four] FullHouse 113
[Three, Nine, Seven, Three, Seven] TwoPair 693
[Eight, Seven, Seven, Queen, Queen] TwoPair 521
[Ten, King, Four, Five, Four] OnePair 735
[Three, Eight, Queen, Ace, Eight] OnePair 562
[King, Ten, Four, Ace, Four] OnePair 984
[Joker, King, King, King, King] Five 920
[Six, Six, Six, Joker, Six] Five 452
[Eight, Joker, Ace, Joker, Ten] Three 280
[Ace, Six, Two, Queen, Joker] OnePair 945
[Eight, Six, Eight, Ten, Ten] TwoPair 243
[King, Queen, Six, Six, King] TwoPair 511
[Joker, Three, Joker, Three, Three] Five 512
[Ten, Nine, King, Nine, King] TwoPair 160
[Six, Six, Ten, Ten, Three] TwoPair 537
[Joker, Three, Ten, Four, Eight] OnePair 234
[Four, Four, Nine, Nine, Nine] FullHouse 158
[Nine, Eight, Seven, Six, Ace] HighCard 666
[Joker, Joker, Seven, Three, Queen] Three 546
[Eight, Five, Ace, Three, Queen] HighCard 20
[Three, Three, Three, Three, King] Four 750
[Six, Ace, Joker, Seven, Three] OnePair 381
[Queen, Three, Queen, Five, Eight] OnePair 637
[Six, Nine, Six, Four, Four] TwoPair 654
[Joker, Six, Six, Six, Nine] Four 641
[Eight, King, Two, King, King] Three 733
[Three, Three, Five, Three, Five] FullHouse 447
[Three, Two, King, Five, Six] HighCard 153
[Ten, Ace, Nine, Four, Queen] HighCard 994
[Seven, Nine, Seven, Nine, Ace] TwoPair 543
[Queen, Six, Six, Three, Queen] TwoPair 432
[King, Queen, Joker, Seven, Queen] Three 516
[Six, Six, King, Six, Five] Three 6
[Four, Eight, Four, Ten, Four] Three 991
[Eight, Eight, Three, Eight, Seven] Three 15
[Nine, Six, Two, Two, Nine] TwoPair 21
[Seven, Ace, King, Six, Two] HighCard 499
[Eight, Eight, King, King, Seven] TwoPair 618
[Three, King, Three, Four, Four] TwoPair 69
[Six, Ace, Six, King, King] TwoPair 569
[Two, Two, Joker, Two, Four] Four 784
[Queen, King, Ten, Five, Three] HighCard 837
[Seven, King, Two, King, King] Three 1
[Eight, Seven, Ten, Nine, Five] HighCard 810
[Two, Two, Two, Eight, Queen] Three 82
[Queen, Six, Six, Ace, Queen] TwoPair 548
[Joker, Six, Queen, Six, Six] Four 366
[Five, Joker, Four, Two, Queen] OnePair 465
[Eight, Queen, Queen, Joker, Eight] FullHouse 246
[Joker, Ace, Ace, King, Joker] Four 630
[Five, Ten, Ten, Nine, Nine] TwoPair 408
[Five, Ten, Seven, Queen, Six] HighCard 779
[Seven, Six, Eight, Ace, Seven] OnePair 631
[Two, Two, Two, Six, Two] Four 201
[Six, Six, Four, Ace, Ace] TwoPair 104
[Ace, Nine, Six, Ace, Six] TwoPair 128
[Ten, Six, Six, Six, King] Three 5
[Three, Nine, Eight, Four, King] HighCard 684
[Three, Three, Three, Five, King] Three 208
[Seven, Nine, Ace, Seven, Seven] Three 891
[King, Seven, King, Seven, Six] TwoPair 285
[Ace, Queen, Eight, Ace, Six] OnePair 678
[Three, Six, Five, Three, Five] TwoPair 130
[Joker, Ten, Four, Four, Three] Three 760
[Four, Seven, Seven, Ten, Nine] OnePair 547
[Four, Eight, Ace, Three, Three] OnePair 532
[Ace, Ace, Six, Six, Ace] FullHouse 321
[Five, Six, Six, Six, Six] Four 776
[Three, Ace, Queen, King, Joker] OnePair 888
[King, Six, Queen, Six, Eight] OnePair 83
[Two, Joker, Seven, Two, Seven] FullHouse 902
[Three, Ten, Ten, Three, Three] FullHouse 339
[Eight, Five, Queen, Six, Ten] HighCard 714
[Queen, Ten, Three, Three, Three] Three 717
[Seven, Ten, Seven, Four, Ten] TwoPair 335
[Joker, Three, Ace, Eight, Five] OnePair 974
[Eight, Joker, Eight, Eight, Eight] Five 617
[King, Nine, Seven, Four, King] OnePair 802
[Eight, Seven, Seven, Seven, Queen] Three 947
[Ace, Nine, Queen, Six, King] HighCard 175
[Seven, Seven, Seven, Five, Seven] Four 75
[Seven, Joker, Ace, Two, Two] Three 458
[Three, King, Four, Nine, Nine] OnePair 791
[Nine, Eight, Ten, Ten, Joker] Three 256
[Five, Five, Five, Five, Joker] Five 505
[Queen, Ten, Queen, Queen, Joker] Four 70
[Ten, Two, Three, Two, Ten] TwoPair 506
[Queen, Nine, Nine, Nine, Nine] Four 907
[Joker, Four, Ace, Eight, Eight] Three 74
[Ace, Four, King, Five, Eight] HighCard 191
[King, Three, Eight, Eight, Eight] Three 263
[Two, Queen, Joker, Two, Two] Four 23
[Three, Three, Six, Eight, Queen] OnePair 155
[Queen, King, King, King, Queen] FullHouse 743
[Joker, King, Two, Two, Two] Four 139
[King, Queen, Eight, Four, Queen] OnePair 905
[Ten, Two, Five, Ten, Two] TwoPair 91
[Queen, Nine, Ten, Joker, Joker] Three 844
[Queen, Queen, Eight, Queen, Eight] FullHouse 720
[Three, Three, Five, King, King] TwoPair 355
[Two, Nine, Ten, Seven, Six] HighCard 963
[Three, Nine, Ace, Queen, Six] HighCard 292
[Two, Seven, Two, Two, Two] Four 276
[Eight, Eight, Joker, Joker, Eight] Five 388
[Five, Two, Ace, Two, Two] Three 134
[Seven, Ace, Nine, Five, Queen] HighCard 86
[Seven, Ten, Ten, Ten, Ace] Three 314
[Nine, Six, Four, Two, King] HighCard 187
[Ace, Three, Three, Ace, Three] FullHouse 416
[Six, Queen, Six, Six, Queen] FullHouse 92
[Nine, Three, Ace, Two, Three] OnePair 403
[Seven, Seven, Seven, Two, Two] FullHouse 523
[Three, Three, Joker, Three, Four] Four 196
[Joker, Eight, Three, Three, Three] Four 639
[King, Eight, Ten, Joker, Five] OnePair 736
[Two, Two, Two, Ace, Ace] FullHouse 116
[Joker, Ten, Three, Ten, Ten] Four 970
[Eight, Seven, Ace, Six, Five] HighCard 225
[Eight, Two, Five, Five, Five] Three 459
[Two, Two, Joker, Ten, Two] Four 255
[Queen, Two, Two, Two, Three] Three 972
[King, Six, Three, Joker, Ace] OnePair 143
[Eight, Ace, Queen, Eight, Six] OnePair 653
[Joker, Joker, Three, Joker, Nine] Four 614
[Three, Ace, Seven, Seven, Ace] TwoPair 365
[King, King, Nine, King, Ten] Three 47
[Five, Ten, Nine, Five, Nine] TwoPair 385
[Seven, Joker, King, Queen, Four] OnePair 477
[Four, Nine, Seven, Ten, Three] HighCard 711
[Three, Four, Ace, Three, Three] Three 770
[Five, Seven, Five, Five, Seven] FullHouse 869
[Seven, Seven, Seven, King, Joker] Four 193
[King, King, King, Five, Queen] Three 892
[Nine, Queen, Two, Nine, Nine] Three 230
[Three, Four, Joker, Eight, Three] Three 795
[Three, King, Ten, Ten, Queen] OnePair 692
[Six, Six, Six, Nine, Six] Four 695
[Five, Seven, Four, Seven, Two] OnePair 960
[Seven, Seven, Joker, Two, Six] Three 841
[Ten, Ace, Ten, Two, Ten] Three 685
[Three, Three, Nine, Six, Nine] TwoPair 662
[Nine, Queen, Three, Nine, Three] TwoPair 295
[Queen, King, Queen, Eight, Eight] TwoPair 142
[Ten, Ten, Ten, Nine, Eight] Three 32
[Two, Five, Five, Five, Five] Four 374
[Two, Six, Five, Queen, King] HighCard 924
[Joker, Ace, Ace, Joker, Ace] Five 440
[Nine, Nine, Nine, Nine, King] Four 257
[Three, Four, Six, King, Ten] HighCard 500
[Joker, Joker, Two, Nine, Nine] Four 535
[Queen, Joker, Four, King, Ace] OnePair 135
[Seven, Ace, Four, Two, Two] OnePair 305
[Ace, Two, Ten, Eight, Five] HighCard 773
[Four, Ten, Six, Nine, Joker] OnePair 52
[Seven, Three, Queen, Eight, Ace] HighCard 463
[King, King, Six, King, King] Four 420
[Eight, Queen, Seven, Queen, Joker] Three 251
[Queen, Queen, King, Three, King] TwoPair 168
[Six, Six, Six, Four, Four] FullHouse 150
[Four, Four, Four, Two, Four] Four 444
[Eight, Four, Ten, Five, Three] HighCard 299
[Ace, King, Ace, Ace, King] FullHouse 240
[Six, Ace, Nine, Five, Two] HighCard 35
[Queen, Five, Eight, Seven, Five] OnePair 217
[Two, Two, Eight, Eight, Eight] FullHouse 829
[Three, Eight, Five, Eight, Nine] OnePair 642
[Nine, Four, Eight, Four, Eight] TwoPair 417
[Three, Two, Two, Two, Two] Four 727
[Nine, Six, Six, Queen, Nine] TwoPair 27
[Joker, Queen, Nine, Queen, Ten] Three 336
[Five, Two, King, Two, Ten] OnePair 886
[Joker, Seven, Seven, Eight, Seven] Four 721
[Ace, Ace, Queen, Three, Ace] Three 147
[Six, King, Eight, Two, Three] HighCard 957
[Six, Six, Six, Eight, Queen] Three 839
[Ace, Ace, Ace, Eight, Eight] FullHouse 39
[King, Joker, Three, Three, King] FullHouse 4
[Joker, Five, Joker, Five, Joker] Five 419
[Two, Ace, Seven, Ten, Nine] HighCard 275
[Four, Ace, Seven, Seven, Seven] Three 470
[Seven, King, King, Seven, King] FullHouse 377
[Nine, Nine, Nine, Nine, Two] Four 418
[Nine, Three, Ten, Ace, Eight] HighCard 865
[Nine, Five, Ten, Three, Four] HighCard 709
[King, Three, Four, Joker, Ace] OnePair 322
[Nine, Four, Six, Seven, Four] OnePair 658
[Ace, Joker, Ace, Ace, Seven] Four 45
[Joker, Queen, Two, Two, Ace] Three 304
[King, Eight, Three, Queen, Two] HighCard 13
[Ace, Six, Nine, Two, Three] HighCard 439
[Nine, Eight, Nine, Seven, Seven] TwoPair 331
[Six, Eight, Nine, Joker, Six] Three 769
[Nine, Nine, Nine, Five, Three] Three 931
[Queen, Queen, Queen, Joker, Queen] Five 94
[Joker, Five, Ace, Ace, Five] FullHouse 871
[Ten, Joker, Ten, Joker, Ten] Five 413
[Ace, Ten, Ace, Two, Eight] OnePair 530
[Six, Ten, Six, Six, Ten] FullHouse 564
[King, Ace, King, King, King] Four 873
[Ten, Four, Three, Queen, Queen] OnePair 657
[Ten, Ten, Ten, Ten, Two] Four 563
[Nine, Eight, Nine, Eight, Joker] FullHouse 118
[Queen, Queen, Queen, Queen, Eight] Four 659
[Nine, Nine, Nine, Nine, Seven] Four 236
[Eight, Eight, Eight, Two, Six] Three 188
[Six, King, King, King, Five] Three 394
[Two, Queen, Queen, Joker, Two] FullHouse 495
[Eight, Ten, Eight, Six, Four] OnePair 900
[Eight, Eight, Eight, King, Eight] Four 655
[Two, Eight, King, Queen, Four] HighCard 361
[Three, Three, Seven, Three, Two] Three 472
[Ace, Ace, Two, Ace, Seven] Three 845
[Ten, Ten, Ten, Seven, Ten] Four 726
[Six, Eight, Ace, Eight, Four] OnePair 852
[Three, King, King, King, King] Four 161
[Three, Four, Three, Queen, Two] OnePair 358
[Seven, Five, Seven, Nine, Two] OnePair 476
[Ace, Ace, Ace, Joker, Ace] Five 550
[King, King, Nine, Ace, Nine] TwoPair 558
[Seven, Two, Five, Six, Nine] HighCard 737
[Four, Ace, Ten, Three, Three] OnePair 708
[King, King, King, Queen, Nine] Three 119
[Eight, Joker, Joker, Joker, Six] Four 315
[Seven, Eight, Ace, Seven, Seven] Three 850
[Joker, Joker, Queen, Joker, Seven] Four 140
[Three, Ace, Five, Ace, Five] TwoPair 740
[Seven, Eight, Two, Seven, Eight] TwoPair 344
[Queen, Four, Queen, Four, Four] FullHouse 103
[Four, Four, Joker, Ace, Four] Four 146
[Seven, Four, Ten, Nine, Five] HighCard 636
[Two, Ace, Two, Ace, Ten] TwoPair 507
[Ten, King, Five, Queen, Five] OnePair 474
[Seven, Ten, Nine, Eight, Two] HighCard 712
[Ace, Joker, Three, Seven, Eight] OnePair 1000
[Seven, Five, Eight, Five, Eight] TwoPair 494
[Ace, Ace, Ace, Nine, Nine] FullHouse 746
[Seven, Two, Ten, Nine, Four] HighCard 981
[Ten, Ten, Seven, Seven, Ten] FullHouse 803
[Three, Nine, Three, King, Three] Three 124
[Ten, Eight, Ten, Nine, Five] OnePair 265
[Ace, Joker, Ace, Six, Six] FullHouse 244
[Ace, Ace, Four, Ten, Ace] Three 207
[Four, Four, Seven, Seven, Seven] FullHouse 638
[Six, Eight, Queen, Ten, Two] HighCard 973
[Nine, King, Six, Two, Eight] HighCard 340
[Seven, Five, Nine, Five, King] OnePair 443
[Nine, Ace, Nine, Four, Nine] Three 682
[King, Joker, King, Ten, Ten] FullHouse 954
[Two, Three, Ten, Two, Six] OnePair 100
[Five, King, Joker, Five, Ten] Three 434
[Six, Six, Six, Two, Six] Four 81
[King, Three, Three, King, Three] FullHouse 856
[Joker, Seven, Five, Five, Five] Four 525
[Joker, Queen, Joker, Joker, Five] Four 60
[Eight, Six, Eight, Joker, Six] FullHouse 935
[Two, Two, Two, Nine, Nine] FullHouse 823
[Joker, Four, Four, Four, Five] Four 539
[Nine, King, King, King, Seven] Three 890
[Joker, Ace, Ace, Four, Eight] Three 80
[Seven, Five, Five, Queen, Five] Three 520
[Four, Joker, Queen, Queen, Joker] Four 223
[Nine, Nine, Seven, Ten, Nine] Three 405
[Eight, Ace, Eight, Eight, Eight] Four 575
[King, Three, Six, Nine, Ten] HighCard 730
[Ace, Five, Five, Six, Five] Three 847
[Three, Nine, Joker, Queen, Four] OnePair 29
[Queen, Queen, Queen, Joker, Joker] Five 694
[Eight, Six, Seven, Eight, Nine] OnePair 860
[Three, Three, Three, Joker, Three] Five 10
[Nine, Ace, Nine, Four, Ace] TwoPair 221
[Joker, Nine, Nine, Joker, Ten] Four 62
[Eight, Seven, Eight, Eight, Eight] Four 701
[Ace, Ace, Six, Ace, Two] Three 290
[Ten, Five, Queen, King, Four] HighCard 775
[Three, Five, Three, Five, Four] TwoPair 927
[Three, Two, Three, Queen, Three] Three 451
[Two, Five, Ten, Ace, Five] OnePair 883
[Two, Nine, Five, Four, Joker] OnePair 487
[Three, Seven, Six, Joker, Six] Three 594
[Two, King, Nine, Seven, Five] HighCard 842
[Ace, Ace, Ace, Ace, Six] Four 986
